Corsair A500 CT-9010003-WW,サイドフロー型 | 120x120x25 mm | 75.0 CFM | 2020-04-04発売
クーラーマスター A71C RR-A71C-18PA-R1,トップフロー型 | 120x120x25 mm | 39.0 CFM | 2020-05-25発売
ASUS TUF Gaming LC 240 RGB,水冷型 | 120x120x25 mm | 67.0 CFM | 2020-08-07発売
Enermax LIQMAX III ELC-LMT120-HF,水冷型 | 120x120x25 mm | 90.1 CFM | 2019-04-06発売
クーラーマスター A30 RH-A30-25FK-R1,トップフロー型 | 80x80x25 mm | 30.0 CFM | 2018-07-27発売
ASUS ROG RYUJIN 240,水冷型 | 120x120x25 mm | 121.8 CFM
Cryorig R1 UNIVERSAL V2,サイドフロー型 | 76.0 CFM | 2017-12-15発売
Cryorig R5,サイドフロー型 | 140x140x25.4 mm | 76.0 CFM | 2020-10-03発売
Thermaltake TH120 ARGB Sync CL-W285-PL12SW-A,水冷型 | 120x120x25 mm | 59.3 CFM | 2020-09-25発売
GELID Solutions Slim Silence AM4 CC-SSILENCE-AM4,トップフロー型 | 65x65x15 mm | 20.0 CFM | 2020-12-24発売
クーラーマスター Hyper 212 LED Turbo White Edition RR-212TW-16PW-R1,サイドフロー型 | 120x120x25 mm | 66.3 CFM | 2019-10-11発売
クーラーマスター Hyper 212 Black Edition RR-212S-20PK-R1,サイドフロー型 | 120x120x25 mm | 42.0 CFM | 2019-07-26発売
Be Quiet SHADOW ROCK 3 BK004,サイドフロー型 | 120x120x25 mm | 2020-07-14発売
Lian Li Galahad AIO 240 RGB,水冷型 | 120x120x26 mm | 69.2 CFM | 2020-07-28発売
MSI CORE FROZR L,サイドフロー型 | 71.3 CFM | 2016-12-02発売
Zalman CNPS80F,トップフロー型 | 2019-10-25発売
Noctua NH-L9x65,トップフロー型 | 92x92x14 mm
Thermalright SilverArrow T8,サイドフロー型 | 140x152x26.5 mm | 91.0 CFM | 2019-02-05発売
Super Flower NEON 240 SF-LB240,水冷型 | 120x120x25 mm | 46.0 CFM | 2020-11-13発売
Thermalright AXP-100H Muscle,トップフロー型 | 101x108x14 mm | 44.5 CFM | 2017-01-18発売
Super Flower NEON Air 122 SF-AY122,サイドフロー型 | 120x120x25 mm | 38.5 CFM | 2020-11-16発売
Deepcool GAMER STORM CASTLE 240EX DP-GS-H12-CSL240EX,水冷型 | 120x120x25 mm | 64.4 CFM | 2020-04-17発売
Antec Neptune 240 ARGB,水冷型 | 120x120x25 mm | 77.0 CFM | 2020-01-25発売
Noctua NH-U9S,サイドフロー型 | 92x92x25 mm
Noctua NH-U12S chromax.black,サイドフロー型 | 120x120x25 mm | 2019-11-08発売
Lian Li Galahad AIO 360 RGB,水冷型 | 120x120x26 mm | 69.2 CFM | 2020-07-28発売
In Win SR36 IW-LC-SR36,水冷型 | 120x120x26 mm | 101.5 CFM | 2020-07-01発売
Thermalright AXP-100 C65,トップフロー型 | 108x101x14 mm | 44.5 CFM | 2020-04-23発売
MSI CORE FROZR XL,サイドフロー型 | 71.3 CFM | 2017-08-04発売
Deepcool GAMMAXX GT A-RGB DP-MCH4-GMX-GT-ARGB,サイドフロー型 | 120x120x25 mm | 64.5 CFM | 2020-04-24発売
ASUS ROG Strix LC 240 RGB White Edition,水冷型 | 120x120x25 mm | 81.0 CFM | 2020-02-14発売
Antec C400 Glacial,サイドフロー型 | 77.0 CFM | 2019-06-22発売
Thermalright Le GRAND MACHO RT,サイドフロー型 | 140x152x26.5 mm | 73.6 CFM | 2017-02-13発売
Cryorig H5 UNIVERSAL V2,サイドフロー型 | 140x140x13 mm | 65.0 CFM | 2017-12-15発売
Be Quiet DARK ROCK PRO 4 BK022,サイドフロー型
Intel BXTS15A,
クーラーマスター Hyper 212 LED White Edition RR-212L-16PW-R1,サイドフロー型 | 120x120x25 mm | 66.3 CFM | 2019-10-11発売
Deepcool GAMMAXX 400 V2 DP-MCH4-GMX400V2-RD,サイドフロー型 | 120x120x25 mm | 64.5 CFM
Fractal Design Celsius+ S24 Prisma FD-W-2-S2402,水冷型 | 2020-04-17発売
Deepcool GAMMAXX 400 V2 DP-MCH4-GMX400V2-BL,サイドフロー型 | 120x120x25 mm | 64.5 CFM
Deepcool GAMMAXX C40 DP-MCH4-GMX-C40P,サイドフロー型 | 92x92x25 mm | 33.0 CFM
クーラーマスター MasterAir G200P MAP-G2PN-126PC-R1,トップフロー型 | 92x92x15.4 mm | 35.5 CFM | 2020-01-24発売
Deepcool GAMMAXX GTE V2 BLACK DP-MCH4-GMX-GTE-V2BK,サイドフロー型 | 120x120x25 mm | 64.5 CFM | 2020-04-24発売
サイズ 無限伍 ARGB PLUS SCMG-5102AR,サイドフロー型 | 120x120x27 mm | 66.5 CFM | 2020-01-23発売
Zalman CNPS16X,サイドフロー型 | 120x120x26 mm | 49.0 CFM | 2020-09-18発売
GELID Solutions TORNADO CC-TORNADO-01-B,サイドフロー型 | 120x120x25 mm | 65.5 CFM | 2020-10-15発売
Silverstone IceGem 360 SST-IG360-ARGB,水冷型 | 120x120x25 mm | 93.4 CFM | 2020-11-10発売
GELID Solutions SlimHero Rev.B CC-SHERO-01-B,トップフロー型 | 120x120x15.8 mm | 52.4 CFM | 2017-12-07発売
Zalman CNPS10X OPTIMAII,サイドフロー型 | 120x120x25 mm | 61.5 CFM | 2019-10-25発売
Pccooler GI-D56V,サイドフロー型 | 120x120x26.5 mm | 72.0 CFM
クーラーマスター Wraith Ripper MAM-D7PN-DWRPS-T1,サイドフロー型 | 120x120x25 mm | 76.4 CFM | 2018-11-21発売
Thermalright TRUE Spirit 120M Rev.B,サイドフロー型 | 120x120x25.4 mm | 77.3 CFM | 2019-04-25発売
Cryorig H7 V2,サイドフロー型 | 120x120x25.4 mm | 59.0 CFM | 2017-09-15発売
Thermalright Macho 120 Rev.B,サイドフロー型 | 120x120x25.4 mm | 77.3 CFM | 2019-03-26発売
Noctua NH-U14S DX-3647,サイドフロー型 | 140x150x25 mm
Deepcool GAMMA ARCHER DP-MCAL-GA,トップフロー型 | 120x120x25 mm | 54.3 CFM | 2018-12-21発売
Zalman CNPS16X,サイドフロー型 | 120x120x26 mm | 49.0 CFM | 2020-09-18発売
ASUS ROG RYUO 120,水冷型 | 120x120x25 mm | 81.0 CFM | 2018-12-14発売
Thermalright AXP-100R H,トップフロー型 | 101x108x14 mm | 44.5 CFM | 2017-01-18発売
Fractal Design Celsius+ S36 Prisma FD-W-2-S3602,水冷型 | 2020-04-17発売
Noctua NH-D15S,サイドフロー型
Silverstone SST-PF360W-ARGB,水冷型 | 120x120x25 mm | 94.0 CFM | 2020-12-22発売
クーラーマスター MasterLiquid ML120L RGB MLW-D12M-A20PC-R1,水冷型 | 120x120x25 mm | 66.7 CFM | 2018-01-12発売
Enermax AQUAFUSION ELC-AQF120-SQA,水冷型 | 120x120x26 mm | 79.8 CFM | 2019-03-23発売
Enermax AQUAFUSION ELC-AQF240-SQA,水冷型 | 120x120x26 mm | 79.8 CFM | 2019-03-23発売
NZXT KRAKEN X42 RL-KRX42-01,水冷型 | 2016-12-01発売
サイズ SCY-TYPE-920S,サイドフロー型 | 92x92x25 mm | 48.2 CFM | 2019-12-12発売
