クーラーマスター SickleFlow 80 MFX-B8NN-25NPK-R1,80 mm | 2500 rpm | 25.0 dB | 2020-12-25発売,1188
サイズ KAZE-FLEX 92mm PWM KF9225FD23-P,92 mm | 2300 rpm | 28.8 dB | 2019-07-25発売,1050
NZXT AER RGB2 HF-28140-B1,140 mm | 1500 rpm | 33.0 dB | 2018-10-26発売,3617
サイズ KAZE FLEX 120 SU1225FD12M-RH,120 mm | 1200 rpm | 24.9 dB | 2017-08-01発売,779
Noctua NF-A9x14 PWM,92 mm | 2200 rpm | 19.9 dB,1880
サイズ KAZE FLEX 120 RGB PWM SU1225FD12HR-RNP,120 mm | 1800 rpm | 35.8 dB | 2018-06-14発売,1375
Noctua NF-A20 PWM,200 mm | 800 rpm | 18.1 dB,3960
サイズ KAZE-FLEX 120mm SLIM PWM RGB KF1215FD18R-P,120 mm | 1800 rpm | 30.0 dB | 2019-07-25発売,1673
Noctua NF-A4x10 PWM,40 mm | 5000 rpm | 19.6 dB,1848
クーラーマスター MasterFan SF360R ARGB MFX-B2D3-18NPA-R1,120 mm | 1800 rpm | 30.0 dB | 2019-10-11発売,3680
Lian Li UNI FAN SL120 WT Single Pack UF-SL120-1W,1900 rpm | 31.0 dB | 2020-09-07発売,2750
Pccooler CORONA120RGB,120 mm | 1800 rpm | 31.4 dB | 2019-10-02発売,1674
Corsair iCUE QL140 RGB Single Pack CO-9050099-WW,140 mm | 1250 rpm | 26.0 dB | 2020-01-18発売,4990
Noctua NF-S12A PWM chromax.black.swap,120 mm | 1200 rpm | 17.8 dB,2800
Corsair iCUE QL120 RGB Single Pack CO-9050097-WW,120 mm | 1500 rpm | 26.0 dB | 2020-01-18発売,4170
Deepcool MF120 GT-3in1 DP-GS-F12-AR-MF120GT-3P,120 mm | 1800 rpm | 35.0 dB | 2020-06-05発売,4629
Corsair AF140 LED 2018 Dual Pack CO-9050089-WW,140 mm | 1150 rpm | 26.0 dB | 2019-02-02発売,1480
Akasa Vegas X7 AK-FN093,120 mm | 1200 rpm | 23.2 dB | 2017-05-23発売,1575
Thermaltake Riing Quad PLUS 14 RGB Single Pack CL-F101-PL14SW-C,140 mm | 1400 rpm | 26.1 dB | 2021-01-15発売,4290
Corsair iCUE QL140 RGB Single Pack CO-9050105-WW,140 mm | 1250 rpm | 26.0 dB | 2020-04-25発売,5000
Corsair HD140 RGB LED CO-9050068-WW,140 mm | 1350 rpm | 28.6 dB | 2017-05-20発売,2750
クーラーマスター MasterFan SF240R ARGB MFX-B2D2-18NPA-R1,120 mm | 1800 rpm | 30.0 dB | 2019-10-11発売,3182
オウルテック OWL-FE0615LL-BK,60 mm | 3000 rpm | 21.1 dB | 2016-12-01発売,591
Corsair ML120 PRO CO-9050040-WW,120 mm | 2400 rpm | 37.0 dB | 2016-08-01発売,2180
Antec Prizm 120 ARGB 3+2+C,120 mm | 2000 rpm | 32.6 dB | 2018-12-01発売,7205
Corsair AF140 LED 2018 Dual Pack CO-9050088-WW,140 mm | 1150 rpm | 26.0 dB | 2019-02-02発売,3109
ADATA XPG VENTO 120 ARGB VENTO120ARGB-BKCWW,120 mm | 1200 rpm | 23.0 dB | 2020-12-11発売,1617
Corsair ML120 PRO LED White CO-9050041-WW,120 mm | 2400 rpm | 37.0 dB | 2016-08-01発売,2380
Thermaltake Riing Trio PLUS 12 RGB Radiator Fan TT Premium Edition 3Pack CL-F072-PL12SW-A,120 mm | 1500 rpm | 25.2 dB | 2018-10-19発売,10700
Corsair iCUE SP140 RGB PRO Dual Fan Kit with Lighting Node CO-9050096-WW,140 mm | 1150 rpm | 26.0 dB | 2019-11-02発売,6178
Thermaltake Riing Quad PLUS 12 RGB 3Pack CL-F088-PL12SW-A,120 mm | 1500 rpm | 25.0 dB | 2020-04-17発売,13407
Thermalright TY-143B,140 mm | 1800 rpm | 25.0 dB | 2019-05-24発売,1650
Corsair ML140 PRO LED White CO-9050046-WW,140 mm | 2000 rpm | 37.0 dB | 2016-08-01発売,3080
Noctua NF-A4x20 5V PWM,40 mm | 5000 rpm | 14.9 dB,1760
サイズ KAZE FLEX 120 WHITE PWM 1200RPM KF1225FD12W-P,120 mm | 1200 rpm | 24.9 dB | 2020-07-22発売,1100
Silverstone SST-FHP141-VF,140 mm | 2000 rpm | 41.5 dB | 2016-12-23発売,3588
Thermaltake Riing Plus 12 RGB Radiator Fan TT Premium Edition CL-F054-PL12SW-A,120 mm | 1500 rpm | 24.7 dB | 2017-09-01発売,13809
Noctua NF-P12 redux-900,120 mm | 900 rpm | 12.6 dB,1958
